Port,Time,Data,Tire ID,lib ver,sensor v,receive v,pressure,z-axis,x-axis,volt(V),temp(กษ),frame id,crc,rssi,period(ms)
1,11-04  01:34:10,EFM1[KUMHO110087A90CCF246B000100E100FAAA4A52776A01BC],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.92,19.0,21111,01,-68,10101
1,11-04  01:34:11,EFM1[KUMHO110087A91C14246B000100E400FCB050CA5D6A00C4],87A91C14,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,25.0,51805,00,-60,10068
2,11-04  01:34:11,EFM2[KUMHO110087A91C14246B000100E400FCB050CA5D6A00C4],87A91C14,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,25.0,51805,00,-60,1
1,11-04  01:34:12,EFM1[KUMHO110087A90C83246B000100E000FBB151B8F76A00C5],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,3.250,2.99,26.0,47351,00,-59,10237
2,11-04  01:34:12,EFM2[KUMHO110087A90C83246B000100E000FBB151B8F76A00BF],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,3.250,2.99,26.0,47351,00,-65,1
2,11-04  01:34:13,EFM2[KUMHO110087A90C9C246B000100E500FAB04FF4906A00BD],87A90C9C,24,1.0.7,1.0.6,-2.4,18.00,2.917,2.98,24.0,62608,00,-67,10081
1,11-04  01:34:15,EFM1[KUMHO110087A90C04246B000100E800FDB04FDCE26A00BD],87A90C04,24,1.0.7,1.0.6,-2.4,21.00,3.916,2.98,24.0,56546,00,-67,10157
2,11-04  01:34:15,EFM2[KUMHO110087A90C9E246B000100E300FBB04FB01C6A00C4],87A90C9E,24,1.0.7,1.0.6,-2.4,16.00,3.250,2.98,24.0,45084,00,-60,20600
1,11-04  01:34:15,EFM1[KUMHO110087A90C9E246B000100E300FBB04FB01C6A00C6],87A90C9E,24,1.0.7,1.0.6,-2.4,16.00,3.250,2.98,24.0,45084,00,-58,1
1,11-04  01:34:15,EFM1[KUMHO110087A90C87246B000100E400FDB052E33E6A00BD],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.916,2.98,27.0,58174,00,-67,10114
2,11-04  01:34:17,EFM2[KUMHO11005555010101011287A90D9A246B0001016A01CF],55550101,01,1,,1889.0,43066.00,13059.847,2.29,-55.0,257,01,-49,1392301
1,11-04  01:34:17,EFM1[KUMHO11005555010101011287A90D9A246B0001016A01D2],55550101,01,1,,1889.0,43066.00,13059.847,2.29,-55.0,257,01,-46,1
2,11-04  01:34:18,EFM2[KUMHO110087A91CB2246B0002011B00FEB04EC6F46A00C0],87A91CB2,24,1.0.7,1.0.6,-2.0,72.00,4.249,2.98,23.0,50932,00,-64,10229
1,11-04  01:34:19,EFM1[KUMHO110087A90D98246B0001010D00FD9E51C5B86A00C4],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.916,2.8,26.0,50616,00,-60,10127
